PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,C3,RP,EM,RI,OI,FU,FP,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,DL,D2,EA,PG,WC,WE,SC,GA,PM,OA,HC,HP,DA,UT
J,"Ermenlieva, N; Stamova, S; Tsankova, G; Nikolova, S; Naydenova, D; Georgieva, E",,,,"Ermenlieva, Neli; Stamova, Sylvia; Tsankova, Gabriela; Nikolova, Sylvia; Naydenova, Darina; Georgieva, Emilia",,,,,,,,,,,,,,,,,"[Ermenlieva, Neli; Tsankova, Gabriela] Med Univ Varna, Fac Med, Dept Microbiol & Virusol, Varna, Bulgaria; [Stamova, Sylvia] Med Univ Varna, Fac Pharm, Dept Pharmaceut Chem, Tsar Osvoboditel 84, Varna, Bulgaria; [Nikolova, Sylvia] Med Univ Varna, Fac Publ Hlth, Dept Social Med & Hlth Care Org, Varna, Bulgaria; [Naydenova, Darina] Med Univ Varna, Fac Publ Hlth, Dept Hyg & Epidemiol, Varna, Bulgaria; [Georgieva, Emilia] Med Univ Varna, Med Coll Varna, Varna, Bulgaria",Medical University Varna; Medical University Varna; Medical University Varna; Medical University Varna; Medical University Varna,"Stamova, S (corresponding author), Med Univ Varna, Fac Pharm, Dept Pharmaceut Chem, Tsar Osvoboditel 84, Varna, Bulgaria.",Silvia.Stamova@mu-varna.bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001585562400001
J,"Nikolova, V",,,,"Nikolova, Valeriya",,,,,,,,,,,,,,,,,"[Nikolova, Valeriya] Med Univ, Fac Publ Hlth, Dept Hlth Econ & Management, Varna, Bulgaria",Medical University Varna,"Nikolova, V (corresponding author), Med Univ Varna, Fac Publ Hlth, Dept Hlth Econ & Management, Bulgaria 55 Marin Drinov St, Varna 9002, Bulgaria.",Valeriya.Nikolova@mu-varna.bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001506973600001
J,"Hutova, K; Andonova, V; Gugleva, V",,,,"Hutova, Katya; Andonova, Velichka; Gugleva, Viliana",,,,,,,,,,,,,,,,,"[Hutova, Katya; Andonova, Velichka; Gugleva, Viliana] Med Univ Varna, Fac Pharm, Dept Pharmaceut Technol, Varna, Bulgaria",Medical University Varna,"Gugleva, V (corresponding author), Med Univ Varna, Fac Pharm, Dept Pharmaceut Technol, Varna, Bulgaria.",viliana.gugleva@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001681444500001
J,"Bakic, PR; Myers, KJ; Abbey, CK; Acciavatti, RJ; Avanaki, AN; Badal, A; Bliznakova, K; Bosmans, HT; Carton, A; Chan, H-; Cockmartin, L; Das, M; Gifford, HC; Glick, SJ; Goodsitt, MM; Jerebko, AK; Kiarashi, N; Kupinski, MA; Lo, JY; Mackenzie, A; Maidment, ADA; Nishikawa, RM; Park, S; Pokrajac, DD; Reiser, IS; Sechopoulos, I; Zeng, RP",,,,"Bakic, Predrag R.; Myers, Kyle J.; Abbey, Craig K.; Acciavatti, Raymond J.; Avanaki, Ali N.; Badal, Andreu; Bliznakova, Kristina; Bosmans, Hilde T.; Carton, Ann-katherine; Chan, Heang-ping; Cockmartin, Lesley; Das, Mini; Gifford, Howard C.; Glick, Stephen J.; Goodsitt, Mitchell M.; Jerebko, Anna K.; Kiarashi, Nooshin; Kupinski, Matthew A.; Lo, Joseph Y.; Mackenzie, Alistair; Maidment, Andrew D. A.; Nishikawa, Robert M.; Park, Subok; Pokrajac, David D.; Reiser, Ingrid S.; Sechopoulos, Ioannis; Zeng, Rongping",,,,,,,,,,,,,,,,,"[Bakic, Predrag R.] Lund Univ, Dept Translat Med, Malmo, Sweden; [Bakic, Predrag R.; Acciavatti, Raymond J.; Maidment, Andrew D. A.] Univ Penn, Dept Radiol, Philadelphia, PA USA; [Myers, Kyle J.] Puente Solut LLC, Phoenix, AZ USA; [Abbey, Craig K.] Univ Calif Santa Barbara, Dept Psychol & Brain Sci, Santa Barbara, CA USA; [Avanaki, Ali N.] Hemex Hlth, Portland, OR USA; [Badal, Andreu; Glick, Stephen J.; Kiarashi, Nooshin; Zeng, Rongping] US FDA, Silver Spring, MD USA; [Bliznakova, Kristina] Med Univ Varna, Dept Med Equipment Elect & Informat Technol Health, Varna, Bulgaria; [Bosmans, Hilde T.; Cockmartin, Lesley] KU, Dept Imaging & Pathol, Leuven, Belgium; [Carton, Ann-katherine] Gen Elect, Buc, France; [Chan, Heang-ping; Goodsitt, Mitchell M.] Univ Michigan, Dept Radiol, Ann Arbor, MI USA; [Das, Mini] Univ Houston, Dept Phys, Dept Biomed Engn, Dept Elect & Comp Engn, Houston, TX USA; [Gifford, Howard C.] Univ Houston, Dept Biomed Engn, Houston, TX USA; [Jerebko, Anna K.] Dentsply Sirona, Charlotte, NC USA; [Kupinski, Matthew A.] Univ Arizona, Dept Med Imaging, Tucson, AZ USA; [Lo, Joseph Y.] Duke Univ, Dept Radiol, Durham, NC USA; [Mackenzie, Alistair] Natl Coordinating Ctr Phys Mammog, Guildford, England; [Nishikawa, Robert M.] Univ Pittsburgh, Dept Radiol, Pittsburgh, PA USA; [Park, Subok] RapidAI, San Mateo, CA USA; [Pokrajac, David D.] Univ Nis, Fac Sci Math, Nish, Serbia; [Reiser, Ingrid S.] Univ Chicago, Dept Radiol, Chicago, IL USA; [Sechopoulos, Ioannis] Radboud Univ Nijmegen, Dept Med Imaging, Nijmegen, Netherlands",Lund University; University of Pennsylvania; University of California System; University of California Santa Barbara; US Food & Drug Administration (FDA); Medical University Varna; KU Leuven; General Electric; University of Michigan System; University of Michigan; University of Houston System; University of Houston; University of Houston System; University of Houston; University of Arizona; Duke University; Pennsylvania Commonwealth System of Higher Education (PCSHE); University of Pittsburgh; University of Nis; University of Chicago; Radboud University Nijmegen,"Bakic, PR (corresponding author), Carl Bertil Laurells gata 9, S-20502 Malmo, Sweden.; Myers, KJ (corresponding author), 3302 E Tonto Dr, Phoenix, AZ 85044 USA.",Predrag.Bakic@med.lu.se; drkylejmyers@puente-solutions.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001648831500001
J,"Panayotova, V; Peycheva, K; Hristova, T; Dobreva, DA; Stoycheva, T; Stancheva, R; Georgieva, S; Andreev, E; Nikolova, S; Pancheva, R; Merdzhanova, A",,,,"Panayotova, Veselina; Peycheva, Katya; Hristova, Tatyana; Dobreva, Diana A.; Stoycheva, Tonika; Stancheva, Rositsa; Georgieva, Stanislava; Andreev, Evgeni; Nikolova, Silviya; Pancheva, Rouzha; Merdzhanova, Albena",,,,,,,,,,,,,,,,,"[Panayotova, Veselina; Peycheva, Katya; Hristova, Tatyana; Dobreva, Diana A.; Stoycheva, Tonika; Stancheva, Rositsa; Georgieva, Stanislava; Merdzhanova, Albena] Med Univ Varna, Fac Pharm, Dept Chem, Varna 9002, Bulgaria; [Andreev, Evgeni] Nikola Vaptsarov Naval Acad, Fac Engn, Dept Informat Technol, Varna 9002, Bulgaria; [Nikolova, Silviya] Med Univ Varna, Fac Publ Hlth, Dept Social Med & Healthcare Org, Varna 9002, Bulgaria; [Pancheva, Rouzha] Med Univ Varna, Fac Publ Hlth, Dept Hyg & Epidemiol, Varna 9002, Bulgaria",Medical University Varna; Nikola Vaptsarov Naval Academy; Medical University Varna; Medical University Varna,"Panayotova, V (corresponding author), Med Univ Varna, Fac Pharm, Dept Chem, Varna 9002, Bulgaria.",ivanova@mu-varna.bg; albenamerdjanova@mu-varna.bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001657644200001
J,"Kancheva, K; Radeva, M; Resnick, IB; Zlatarova, Z",,,,"Kancheva, Konstantina; Radeva, Mladena; Resnick, Igor B.; Zlatarova, Zornitsa",,,,,,,,,,,,,,,,,"[Kancheva, Konstantina; Resnick, Igor B.] Prof Dr Paraskev Stojanov Med Univ Varna, Varna 9002, Bulgaria; [Kancheva, Konstantina] Univ Prof Dr Asen Zlatarov, Fac Med, Burgas 8010, Bulgaria; [Radeva, Mladena] Med Univ Varna, Dept Ophthalmol, Varna 9002, Bulgaria; [Zlatarova, Zornitsa] Med Univ, Fac Med, Dept Ophthalmol & Visual Sci, Varna 9002, Bulgaria",University of Burgas; Medical University Varna; Medical University Varna,"Kancheva, K (corresponding author), Prof Dr Paraskev Stojanov Med Univ Varna, Varna 9002, Bulgaria.; Kancheva, K (corresponding author), Univ Prof Dr Asen Zlatarov, Fac Med, Burgas 8010, Bulgaria.",konstantina_kancheva@yahoo.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001658645000001
J,"Tsoneva, E; Damyanova, P; Metodiev, MV; Shivarov, V; Vasileva-Slaveva, M; Gorcheva, Z; Ivanova, Y; Kornovski, Y; Kostov, S; Slavchev, S; Nikolova, M; Yordanov, A; Watrowski, R",,,,"Tsoneva, Eva; Damyanova, Polina; Metodiev, Metodi V.; Shivarov, Velizar; Vasileva-Slaveva, Mariela; Gorcheva, Zornitsa; Ivanova, Yonka; Kornovski, Yavor; Kostov, Stoyan; Slavchev, Stanislav; Nikolova, Margarita; Yordanov, Angel; Watrowski, Rafal",,,,,,,,,,,,,,,,,"[Tsoneva, Eva] Specialized Hosp Act Treatment Obstet & Gynaecol D, Dept Reprod Med, Sofia 1330, Bulgaria; [Tsoneva, Eva] Med Univ Pleven, Fac Med, Pleven 5800, Bulgaria; [Damyanova, Polina] Heart & Brain Ctr Clin Excellence, Dept Gen & Clin Pathol, Pleven 5800, Bulgaria; [Metodiev, Metodi V.] Univ Essex, Sch Biol Sci, Life Sci Lab, Wivenhoe Pk, Colchester CO4 3SQ, England; [Shivarov, Velizar; Kostov, Stoyan] Med Univ Pleven, Res Inst, Pleven 5800, Bulgaria; [Vasileva-Slaveva, Mariela] Bulgarian Breast & Other Gynecol Canc Assoc, Sofia 1784, Bulgaria; [Vasileva-Slaveva, Mariela] Dr Shterev Hosp, Dept Breast Surg, Sofia 1750, Bulgaria; [Gorcheva, Zornitsa] Med Univ Pleven, Dept Nephrol Haematol & Gastroenterol, Pleven 5800, Bulgaria; [Ivanova, Yonka; Kornovski, Yavor; Kostov, Stoyan; Slavchev, Stanislav] Med Univ Prof Dr Paraskev Stoyanov, Hosp St Anna, Dept Gynecol, Varna 9002, Bulgaria; [Nikolova, Margarita] St Marina Univ Hosp, Dept Pathol Lab, Pleven 5800, Bulgaria; [Yordanov, Angel] Med Univ Pleven, Dept Gynaecol Oncol, Pleven 5800, Bulgaria; [Watrowski, Rafal] Helios Hosp Mullheim, Dept Obstet & Gynecol, D-79379 Mullheim, Germany; [Watrowski, Rafal] Univ Freiburg, Fac Med, D-79106 Freiburg, Germany",Medical University Pleven; University of Essex; Medical University Pleven; Medical University Pleven; Medical University Varna; Medical University Pleven; University of Freiburg,"Yordanov, A (corresponding author), Med Univ Pleven, Dept Gynaecol Oncol, Pleven 5800, Bulgaria.",poldamdim@abv.bg; mmetod@essex.ac.uk; vshivarov@abv.bg; sscvasileva@gmail.com; zornica.gorchev@gmail.com; yonka.ivanova@abv.bg; ykornovski@abv.bg; drstoqn.kostov@gmail.com; st_slavchev@abv.bg; mnikol@abv.bg; angel.jordanov@gmail.com; rafal.watrowski@medizin.uni-freiburg.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001658672400001
J,"Kornovski, Y; Kostov, S; Ivanova, Y; Slavchev, S; Yordanov, A; Tsoneva, E",,,,"Kornovski, Yavor; Kostov, Stoyan; Ivanova, Yonka; Slavchev, Stanislav; Yordanov, Angel; Tsoneva, Eva",,,,,,,,,,,,,,,,,"[Kornovski, Yavor; Kostov, Stoyan; Ivanova, Yonka; Slavchev, Stanislav] Med Univ Varna, St Anna Univ Hosp, Dept Gynecol, Varna 9002, Bulgaria; [Kostov, Stoyan] Med Univ Pleven, Res Inst, Pleven 5800, Bulgaria; [Yordanov, Angel] Med Univ Pleven, Dept Gynecol Oncol, Pleven 5800, Bulgaria; [Tsoneva, Eva] Specialized Hosp Act Treatment Obstet & Gynaecol D, Dept Reprod Med, Sofia 1330, Bulgaria",Medical University Varna; Medical University Pleven; Medical University Pleven,"Yordanov, A (corresponding author), Med Univ Pleven, Dept Gynecol Oncol, Pleven 5800, Bulgaria.",ykornovski@abv.bg; drstoqn.kostov@gmail.com; yonka.ivanova@abv.bg; st_slavchev@abv.bg; angel.jordanov@gmail.com; dretsoneva@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001649167600001
J,"Penchev, P; Milanova-Ilieva, D; Gaydarski, L; Dimitrov, D; Tablov, B; Husain, N; Hyusein, R; Vladimirov, C; Mihaylova, M; Lozanov, I; Stavrev, D; Petrov, PP; Stanchev, P; Velev, A; Ramadanov, N; Peev, N",,,,"Penchev, Plamen; Milanova-Ilieva, Daniela; Gaydarski, Lyubomir; Dimitrov, Dobromir; Tablov, Boris; Husain, Noor; Hyusein, Remzi; Vladimirov, Cristian; Mihaylova, Mihaela; Lozanov, Ivan; Stavrev, Darko; Petrov, Petar-Preslav; Stanchev, Pavel; Velev, Andrey; Ramadanov, Nikolai; Peev, Nikolay",,,,,,,,,,,,,,,,,"[Penchev, Plamen] Med Univ Plovdiv, Fac Med, Plovdiv, Bulgaria; [Milanova-Ilieva, Daniela] St Georges Univ Hosp, Dept Pediat, Plovdiv, Bulgaria; [Gaydarski, Lyubomir] Med Univ Sofia, Dept Anat Histol & Embryol, Sofia, Bulgaria; [Dimitrov, Dobromir] Med Univ Pleven, Fac Med, Dept Surg Propedeut, Pleven, Bulgaria; [Dimitrov, Dobromir] Ctr Competence Personalized Med 3D & Telemed, Robot Assisted & Minimally Invas Surg Leonardo da, Pleven, Bulgaria; [Tablov, Boris] Life Hosp, Dept Anesthesiol & Intens Care, Burgas, Bulgaria; [Husain, Noor] Indira Gandhi Inst Med Sci, Dept Pharmacol, Patna, India; [Hyusein, Remzi; Vladimirov, Cristian; Lozanov, Ivan] Med Univ Sofia, Fac Med, Sofia, Bulgaria; [Mihaylova, Mihaela] MHAT Vita, Gynecol Dept, Sofia, Bulgaria; [Stavrev, Darko] Med Univ Varna Prof Paraskev Stoyanov, Fac Med, Varna, Bulgaria; [Petrov, Petar-Preslav] Med Univ Plovdiv, Dept Anat Histol & Embryol, Plovdiv, Bulgaria; [Stanchev, Pavel] Med Univ Plovdiv, St Georges Univ Hosp, Clin Endocrinol & Metab Dis, Plovdiv, Bulgaria; [Velev, Andrey] Mil Med Acad Hisarya, Hisarya, Bulgaria; [Ramadanov, Nikolai] Univ Hosp Brandenburg, Ctr Orthopaed & Traumatol, Brandenburg Med Sch, Brandenburg, Germany; [Ramadanov, Nikolai] Brandenburg Med Sch Theodor Fontane, Fac Hlth Sci Brandenburg, Brandenburg, Germany; [Peev, Nikolay] Belfast HSC Trust, Dept Neurosurg, Belfast, North Ireland",Medical University Plovdiv; Medical University Plovdiv; Medical University Sofia; Medical University Pleven; Medical University Sofia; Medical University Varna; Medical University Plovdiv; Medical University Plovdiv,"Penchev, P (corresponding author), Med Univ Plovdiv, Fac Med, Plovdiv, Bulgaria.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001647874100001
J,"Tumbarski, Y; Stoyanova, M; Ivanova, P; Parzhanova, A; Nikolova, K",,,,"Tumbarski, Yulian; Stoyanova, Magdalena; Ivanova, Petya; Parzhanova, Albena; Nikolova, Krastena",,,,,,,,,,,,,,,,,"[Tumbarski, Yulian] Univ Food Technol, Dept Microbiol & Biotechnol, 26 Maritsa Blvd, Plovdiv 4002, Bulgaria; [Stoyanova, Magdalena] Univ Food Technol, Dept Analyt Chem & Phys Chem, 26 Maritsa Blvd, Plovdiv 4002, Bulgaria; [Ivanova, Petya] Univ Food Technol, Dept Biochem & Nutr, 26 Maritsa Blvd, Plovdiv 4002, Bulgaria; [Parzhanova, Albena] Agricultural Acad, Inst Food Preservat & Qual, Dept Food Technol, 154 Vasil Aprilov Blvd, Plovdiv 4002, Bulgaria; [Nikolova, Krastena] Med Univ Varna, Fac Pharm, Dept Phys & Biophys, Varna 9000, Bulgaria",University of Food Technology - Bulgaria; University of Food Technology - Bulgaria; University of Food Technology - Bulgaria; Agricultural Academy - Bulgaria; Medical University Varna,"Tumbarski, Y (corresponding author), Univ Food Technol, Dept Microbiol & Biotechnol, 26 Maritsa Blvd, Plovdiv 4002, Bulgaria.; Nikolova, K (corresponding author), Med Univ Varna, Fac Pharm, Dept Phys & Biophys, Varna 9000, Bulgaria.",tumbarski@abv.bg; magdalena.stoianova@abv.bg; petia_ivanova_georgieva@abv.bg; albenadsp@abv.bg; krastena.nikolova@mu-varna.bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001646277100001
